(FileInfo(path=PosixPath('/Users/canadytw/Documents/GeraldCottrill-Conversation.pdf'), size=43556, hash='42913decc0c427e31860fcb2d52add615f894f899e775cf924a8cc41984e4455', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/GeraldCottrill-Conversation.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/history7.txt'), size=10304, hash='d689ed0d16ff714b24ffd6b117d15ca54982ece23153ec51a3e15b8dd9215d0f', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/history7.txt'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Allison_Singing.mov'), size=1009390, hash='ab22d8668bf3532cf7985524e4c78951c8f513fd39c2cc7b1797bea2eccb0fb2', type='video', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/video/Allison_Singing.mov'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/SENG593-1.mdzip.bak'), size=57896, hash='80738086b70790909d5db209353dfb93209ace61cb6e6299c1a351fbb3be22d4', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/SENG593-1.mdzip.bak'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/Teufelshunde 2024-06-03.etrecheck'), size=736967, hash='84fce4e478c96cdecc5fd718736011c7cba334cf0183e66265f8b40f6bdc7ce5', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/Teufelshunde 2024-06-03.etrecheck'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/poll_ohgo.sh'), size=1206, hash='6938dd6c78546a9700939ea5676874d8b063dda74df269dad59d5edf29cd282e', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/poll_ohgo.sh'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/history6.txt'), size=21427, hash='74ad4a465bb4e0f37f34f8469cbdda7baf967e0f03ab6d3391f81b2124af742c', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/history6.txt'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/TICTAC.fasl'), size=14949, hash='163c98ff87dafd3a524ae851679e4cb67d6ae26ad096cadc1b3f8e5c14f0718e', type='other', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/other/TICTAC.fasl'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/XCode-42739.tar.gz'), size=149665, hash='3677166f57912adc25cc0b206f8cfd16457b7e96be96c6f1ba0974553ec1ea76', type='archive', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/archive/XCode-42739.tar.gz'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/cameron-drew.pdf'), size=90118, hash='342e949f76dfb8602c140ba33bf45a8c7585e8dd38482bac044352bb9c4693b7', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/cameron-drew.pdf'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/genre2.txt'), size=696, hash='e87258f74424875561d9c14289cca53d1012289257414a9b21b100fe0559591a', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/genre2.txt'))
(FileInfo(path=PosixPath('/Users/canadytw/Documents/history4.txt'), size=21492, hash='1c864ec780590230825fc9eebee05e5ccbe6e76394d96f372c00e40b546a9e1e', type='document', owner=None, year=None, is_duplicate=False, original_path=None), PosixPath('/Users/canadytw/SortedPreview/document/history4.txt'))
